(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC
28.605383,1.3204832,17.090706,3.584018,-0.63072973,1.5338362,-3.4507418,0.39923412,0.9923071,4.44629,-108.813644,-25.170359,-0.039965,2.0454247,4.960787,1.9001855
-60.739807,2.1017365,9.082825,4.351471,-0.29917285,-3.6807656,-1.7621005,-4.1722345,3.637077,-3.285341,-148.54779,-19.304502,-1.0971864,2.1380012,5.120497,-3.0731566
-60.660595,-4.46543,6.7917104,0.1486653,-2.6443202,-0.7616153,1.644965,5.8442087,-0.13855343,7.324533,-175.58044,2.9384975,2.1517422,2.0065947,-2.8234575,-1.2934914
5.1944914,-3.418749,4.25728,-4.9366384,-0.8761841,-2.7260063,-6.9494333,-6.508377,0.0072370116,-4.715512,17.832642,-82.65361,-1.019821,-9.644829,-2.2510884,-2.4486234
-74.41595,0.25849527,8.7127695,-1.843223,1.5308801,-3.9184935,-2.9863222,-5.170451,-0.5197816,3.7952907,-150.76161,3.855601,-1.3594928,2.6309505,0.9851698,-0.55875003
32.55792,2.501554,18.89358,-0.24739733,1.5593768,1.6656959,4.048681,-4.872758,1.203543,0.85134333,-132.66823,3.3976035,-0.23665263,-3.4646811,9.543028,1.155816
21.70864,0.22706483,-58.94447,0.60505414,2.2432218,0.7647348,-0.8209381,-1.7836332,-0.6009852,-3.649072,-131.18816,-18.408772,-0.13073145,-0.6119003,-5.4109,2.1678953
-57.884415,1.7153494,-53.11829,-3.157031,2.6763704,3.084003,0.89115113,-3.521694,3.453616,6.6213965,-111.53365,0.53058136,-1.0078427,0.72902787,-4.1458855,-1.0527066
6.268107,1.1856031,-7.4406295,0.20247738,0.17445385,-1.8111142,3.6125667,-7.186315,-5.793882,-4.156147,-201.70888,3.998721,0.17241469,-0.600186,-5.6076303,-0.8761597
-77.12347,2.0042992,6.2471304,-0.44869125,1.3296901,-2.805064,-1.3499504,-4.3813677,0.43469256,5.467154,-152.12164,4.1918483,-1.9408492,2.0954483,2.8761628,-0.11472425
21.852095,-30.519478,-8.035369,-4.7742543,-2.3804872,-4.471055,-0.9465038,1.9234881,-3.7985914,-5.06999,-174.30856,1.9523377,-2.230502,0.5062366,-6.1596384,-2.4894094
-76.05067,0.7403744,6.353059,-0.2035391,1.2758951,3.6997805,-0.74963033,-5.2964745,-1.4677912,-3.0532393,-151.1784,5.079942,0.2154473,1.0512133,0.28860453,0.016581671
-50.361343,-12.223611,-51.025566,2.1904674,-3.058464,2.608727,2.0167763,-4.3701344,0.03482721,0.7054222,-108.14951,1.921879,-1.3059626,0.56050974,-3.125821,3.88942
0.8666617,1.199045,-64.54947,-2.8701801,0.9446498,-1.8011485,-3.913187,0.30436903,0.14620946,2.349844,-156.70058,2.1706328,1.2127696,1.1643335,-1.8341599,1.6222658
-51.55253,-14.123094,-50.602352,2.8118026,0.1530707,4.7235217,-0.92015886,-3.3988452,-0.47351223,-6.2695785,-109.253044,-1.7896883,-1.1182259,-2.116469,-0.32993215,-2.2236629
4.91602,-1.7477479,-52.008568,4.1580634,1.5704803,0.096053466,2.9677322,0.9692884,4.2708125,3.6592746,-91.88035,-13.891264,-1.3722856,-1.9121238,6.2443757,-0.77166843
4.076842,-16.07158,-59.400066,-3.134541,5.2410727,-1.1194086,-0.09758145,-1.6924665,1.580078,-3.1483138,-104.35131,-1.9783558,-0.8258301,-1.3444122,-5.7458706,0.23409119
4.2955103,6.0681105,7.682914,-4.2619157,-1.0796024,-0.5681562,-5.3687177,-1.5308917,0.6211849,-1.3522719,22.571342,13.945973,1.3769354,-9.831553,0.52182806,-5.873978
-61.31576,1.5625477,5.818003,3.169571,0.94480234,-4.018818,-1.8044974,-2.326202,-0.04618419,6.8959026,-150.45558,-20.242168,0.5001463,-3.1564043,-3.5461354,-1.5899922
-62.59318,0.53300947,7.979137,3.9517918,3.0368216,1.3299626,-1.9032727,-5.318811,0.13676398,-3.027472,-168.87714,5.400317,-0.7144963,-0.07314572,-1.2186195,1.493302
-80.08709,-21.302485,-103.64872,0.5983154,1.4846447,-1.631699,-0.2485029,-1.0196426,-0.36726785,-9.073264,2.6466978,-1.5410894,-3.8770936,-6.7066927,1.6407132,4.185036
-50.060413,1.7886074,-0.6645136,0.55105007,-0.6510585,3.481339,-1.183023,-0.8607425,0.059333943,-3.1231642,-151.16478,-21.723515,-1.2126087,-1.8142967,3.9597967,-1.5156506
-0.22113729,2.814849,-9.138218,-3.7398405,4.226682,-2.080007,-1.9765265,-16.88184,1.4323006,1.5720264,23.585793,7.194332,1.7541121,-2.601639,-3.6925173,-11.250629
13.46183,3.851197,17.90545,-1.8826208,3.525656,1.288579,2.9803693,-0.2831767,3.6441617,3.2983108,-101.967804,-27.491383,-0.0288331,2.9911861,-0.16933316,0.24426411
-54.667526,3.0700264,-49.05468,-4.1493893,3.1796968,1.3245178,1.4867276,1.8288953,-2.191457,-1.1792994,-119.269684,2.1276748,0.5819367,-2.8054814,-3.0436316,3.4706783
-79.968666,1.3079392,-116.26283,-3.348998,2.4969685,-3.5187342,1.3901573,-6.3511925,-2.767857,-0.66226983,4.0904646,4.0015335,-4.8834834,-4.8801866,-3.135796,-6.956292
-75.699135,2.6156228,8.096896,-2.7119546,1.1984396,-1.6244506,-0.69099665,-5.974923,-2.0576048,-2.31882,-144.70619,2.3658388,-0.48372206,2.4026456,-3.4604893,3.643265
-72.18542,-20.545687,9.005567,4.1828856,1.4746498,-0.8047023,-2.3735373,-0.4085108,-3.1955707,-4.0330734,-134.0917,1.1473925,-0.49032086,3.1980374,0.57233423,-0.8827664
-57.424244,-19.784985,-5.7703,1.6152234,4.536039,1.6074862,-0.9350267,0.47318783,-1.9778074,-4.210803,-140.13792,2.890907,-0.08968949,2.366958,-2.2788122,-0.7147963
-60.07265,-11.25606,-48.681313,-4.329087,0.42505366,-2.200176,-2.172256,-4.6207476,-2.733833,0.09488928,-105.9455,1.7370092,-3.3541393,0.58308154,-2.568828,-0.53177816
