(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,pred_titer_0,pred_titer_1,pred_titer_2,pred_titer_3,pred_titer_4,regressors_std,mean_vote,UCB
0.0,35.0,19.0,113.0,47.0,43.0,85.0,190.0,0.0,91.0,0.0,90.0,28.0,47.0,14.0,16.0,275.30902,266.09152,222.48636,206.69449,194.08214,36.063126,232.9327,268.99582
0.0,35.0,38.0,136.0,40.0,43.0,85.0,100.0,181.0,91.0,6.0,128.0,14.0,12.0,30.0,16.0,264.10052,271.89905,234.35034,208.41737,194.94621,33.61329,234.7427,268.356
0.0,18.0,9.0,159.0,43.0,51.0,62.0,245.0,204.0,45.0,6.0,71.0,42.0,30.0,30.0,6.0,272.60464,260.9183,231.66881,194.68416,192.25014,36.89593,230.42522,267.32114
0.0,12.0,9.0,181.0,40.0,32.0,108.0,245.0,181.0,23.0,6.0,128.0,25.0,6.0,26.0,11.0,270.30588,261.144,225.84589,194.01776,180.6847,39.603275,226.39966,266.00293
0.0,35.0,9.0,91.0,25.0,32.0,108.0,227.0,136.0,45.0,6.0,80.0,28.0,47.0,14.0,21.0,259.38602,266.86435,238.74884,210.2591,193.81618,31.32597,233.8149,265.14087
8.0,30.0,9.0,113.0,32.0,43.0,96.0,190.0,204.0,11.0,6.0,109.0,11.0,47.0,34.0,6.0,264.30502,268.78024,214.65823,178.23903,182.2243,43.383446,221.64136,265.0248
0.0,47.0,0.0,159.0,51.0,47.0,62.0,245.0,0.0,0.0,6.0,80.0,18.0,24.0,18.0,11.0,257.9553,269.113,222.63661,189.69287,193.32199,36.31723,226.54395,262.86118
0.0,30.0,0.0,136.0,21.0,32.0,153.0,209.0,68.0,11.0,0.0,71.0,18.0,24.0,9.0,41.0,266.71896,259.0781,224.87395,195.15836,188.15417,35.82528,226.7967,262.62198
0.0,53.0,0.0,23.0,40.0,47.0,108.0,190.0,91.0,79.0,6.0,109.0,35.0,47.0,22.0,6.0,243.61641,269.284,245.89047,216.56128,198.45686,27.58324,234.76181,262.34506
0.0,24.0,38.0,45.0,17.0,40.0,130.0,227.0,181.0,34.0,6.0,109.0,14.0,12.0,9.0,6.0,273.48825,253.54117,211.1408,183.46564,189.73723,39.652283,222.27461,261.92688
